SiPM ID,MERCI Channel #,Type
1,8,FBK
2,8,FBK
3,8,FBK
4,8,FBK
5,18,HPK
6,18,HPK
7,18,HPK
8,18,HPK
9,9,FBK
10,9,FBK
11,9,FBK
12,9,FBK
13,19,HPK
14,19,HPK
15,19,HPK
16,19,HPK
17,0,FBK
18,1,FBK
19,2,FBK
20,3,FBK
21,16,HPK
22,16,HPK
23,16,HPK
24,16,HPK
25,4,FBK
26,5,FBK
27,6,FBK
28,7,FBK
29,17,HPK
30,17,HPK
31,17,HPK
32,17,HPK
33,10,FBK
34,10,FBK
35,10,FBK
36,10,FBK
37,20,HPK
38,20,HPK
39,20,HPK
40,20,HPK
41,11,FBK
42,11,FBK
43,11,FBK
44,11,FBK
45,21,HPK
46,21,HPK
47,21,HPK
48,21,HPK
49,12,FBK
50,12,FBK
51,12,FBK
52,12,FBK
53,22,HPK
54,22,HPK
55,22,HPK
56,22,HPK
57,13,FBK
58,13,FBK
59,13,FBK
60,13,FBK
61,23,HPK
62,23,HPK
63,23,HPK
64,23,HPK
65,14,FBK
66,14,FBK
67,14,FBK
68,14,FBK
69,24,HPK
70,24,HPK
71,24,HPK
72,24,HPK
73,15,FBK
74,15,FBK
75,15,FBK
76,15,FBK
77,25,HPK
78,25,HPK
79,25,HPK
80,25,HPK
81,31,PMT
